order_number,customer_name,customer_phone,customer_address,delivery_cost
ECOMT98531,Erek Dallewater,3136029501,44444 Carioca Center,549
ECOMT74039,Tierney Vorley,9502146177,78154 Summerview Circle,825
ECOMT51418,Lawry Santus,3811690927,7706 Starling Lane,777
ECOMT66314,Faustina Banville,5265065833,3033 Morningstar Way,138
ECOMT48577,Michale Lorence,7363253907,86352 Mallory Park,410
ECOMT38519,Bernadette Sansum,6652460383,79 Loeprich Road,541
ECOMT89844,Madalena Le Strange,1889794057,3397 Steensland Court,589
ECOMT13317,Agatha Fend,8078013649,5 Pierstorff Point,435
ECOMT26222,Venita Sogg,2708672984,5702 Dwight Center,277
ECOMT63294,Philly Davisson,8064747397,7712 Darwin Circle,138
ECOMT46740,Emmy Limb,1174610986,76816 Sherman Alley,482
ECOMT15822,Sheelagh Babbe,9642159718,9039 Fieldstone Hill,421
ECOMT93784,Hillier Greson,5199455774,6 Lakeland Avenue,766
ECOMT16374,Dian Picknett,7452703272,69 Birchwood Plaza,271
ECOMT78774,Hew Bestar,6571163202,0 Jenifer Street,138
ECOMT22657,Tine Dunthorne,5128656411,6 Toban Road,172
ECOMT07209,Charisse Gariff,6315444946,19079 Rusk Way,976
ECOMT64605,Gladi Tart,2525377494,4265 Oriole Avenue,493
ECOMT77646,Brigida Saunder,2529629401,6456 Crowley Circle,422
ECOMT03852,Ophelia Killshaw,4561579518,042 Macpherson Trail,272
ECOMT98546,Gail O' Dornan,1668636367,90 Hazelcrest Crossing,282
ECOMT44941,Fannie Fuentes,3466955974,2 Londonderry Park,333
ECOMT10252,Sybilla McClary,9153768547,43267 Sunbrook Lane,318
ECOMT96548,Kenon Neilan,9317077173,02 Chive Road,762
ECOMT97841,Nadya Corbitt,4415705657,15223 Arapahoe Circle,607
ECOMT71770,Karena Iohananof,8362241235,24086 Autumn Leaf Circle,394
ECOMT09537,Margarette Kleinhaut,9189364057,20 Porter Pass,943
ECOMT41854,Ricki O'Carrol,7038357583,03 High Crossing Point,298
ECOMT06121,Whitney Butting,9642217851,53 Burrows Junction,810
ECOMT52939,Susan Grummitt,6181092158,1 Boyd Way,859
ECOMT56395,Owen Foux,8635591987,0 Cordelia Parkway,537
ECOMT27930,Mavra McKevin,6107237674,9835 Lotheville Point,121
ECOMT87073,Lynde Coopper,6225463843,97095 Amoth Alley,693
ECOMT35349,Susette Mabbott,8837681378,7 Novick Way,887
ECOMT54835,Stewart Gartrell,9131418245,509 Washington Parkway,464
ECOMT31197,Phyllis Hillam,9319323353,2 Schlimgen Point,304
ECOMT97049,Randa Fanshaw,3918352209,9617 Esch Drive,235
ECOMT73745,Chev Sowthcote,2592298583,2397 Katie Court,289
ECOMT94123,Smitty Smedmore,9875401672,94665 Hayes Drive,214
ECOMT68890,Raina Cowen,5891384748,0 Kensington Way,387
ECOMT52274,Vernon Lemerie,5289096438,8993 Anthes Drive,593
ECOMT13931,Augy Hebbron,6777866200,47 Express Drive,587
ECOMT89597,Padraic Vasyunichev,4509442734,3565 Porter Trail,996
ECOMT13372,Ketty Corneil,8328486306,574 Thackeray Circle,878
ECOMT02817,Hermann Stoffler,4593972524,4 Annamark Center,731
ECOMT23366,Terrill Freeland,3375406177,870 Badeau Hill,428
ECOMT15989,Catina Jarrard,8125113114,2298 Maryland Center,406
ECOMT98492,Obidiah Birkenhead,4677430527,49083 2nd Lane,903
ECOMT14444,Callean Arsnell,1868698918,83282 Swallow Circle,560
ECOMT85801,Avram McCaghan,5012236761,83 Lindbergh Drive,773
ECOMT86983,Carlee Jeakins,9375422209,0646 Burrows Avenue,508
ECOMT08016,Claire Leman,7085805233,2944 High Crossing Court,676
ECOMT15779,Dody Brothwell,5093707887,9 Hudson Way,866
ECOMT00720,Howie Dalinder,5912945140,4515 Bay Lane,683
ECOMT65465,Pauly Ferrettino,5706366297,91947 Sage Circle,484
ECOMT75772,Michaela Sawle,3128290087,21996 Shoshone Junction,526
ECOMT06751,Ermanno Gainfort,5736371909,6 Ludington Lane,682
ECOMT93643,Sharity Pickering,5492131836,5 Myrtle Street,808
ECOMT95945,Giulietta Orchart,7215441320,72 Mifflin Hill,359
ECOMT48326,Gar Fitchen,8837869556,4 Erie Road,368
ECOMT85445,Sidonnie Rasper,6743485242,88383 Prairie Rose Alley,250
ECOMT50549,Caterina Grieswood,7776522067,16 Debra Lane,893
ECOMT18225,Cecelia Ralls,6129956308,772 Ryan Alley,413
ECOMT98219,Laurie Banbrigge,8701774794,27550 Briar Crest Center,307
ECOMT50146,Gwendolen Swinerd,4704630409,980 Colorado Way,884
ECOMT52791,Rayshell Woodhouse,9339014972,8 Clove Place,788
ECOMT67401,Ardelle Ashfield,6263164481,925 Randy Trail,698
ECOMT83310,Olivie Kegley,6317541928,9618 Armistice Court,252
ECOMT08991,Peg Sturch,4612121897,4237 Forest Street,521
ECOMT48266,Filmore Gerring,3322091855,9 Kropf Alley,526
ECOMT62766,Cyrus Abeles,4923919787,999 Glendale Terrace,840
ECOMT87667,Addie Berthouloume,7467274351,61 Scofield Circle,294
ECOMT76103,Mozelle Benzi,8182695425,6112 Kipling Court,319
ECOMT75877,Burlie Randalston,6984648296,75 Brickson Park Crossing,300
ECOMT35810,Allen Ligoe,1575377623,96274 Welch Place,922
ECOMT25987,Salome Rousell,4015373288,5813 Brown Terrace,828
ECOMT59549,Claudell Margaret,7931475926,87547 Corscot Lane,323
ECOMT99538,Bab Saunier,3409956195,72 Lien Alley,755
ECOMT52935,Lacee Aharoni,4105398657,85 Union Court,452
ECOMT79109,Clevey Oldman,4384875405,280 Oneill Lane,309
ECOMT61531,Tabbie Murkus,8019008731,89 Redwing Road,721
ECOMT57209,Margarete Bouldon,8263000334,79 Burning Wood Crossing,604
ECOMT37341,Von Mack,3237772994,7729 Fair Oaks Junction,875
ECOMT43743,Duky Leffek,9561547080,716 Forest Run Lane,872
ECOMT87856,Dev Schneider,8046290584,22 Carpenter Lane,282
ECOMT60905,Lynea Tayspell,3648119363,37282 Delaware Junction,789
ECOMT70129,Romonda Fettes,2572659000,12683 Emmet Pass,770
ECOMT19499,Martha Berrane,4314501676,187 Vidon Court,554
ECOMT15740,Liv Turpie,6051986916,623 Beilfuss Pass,553
ECOMT34808,Valerye Ragg,2726693248,18185 Luster Trail,316
ECOMT20588,Ekaterina Scandwright,1499541359,1 Marcy Point,847
ECOMT90802,Dierdre Delaprelle,4243071601,28 Fieldstone Street,446
ECOMT82475,Jozef Malpass,4561093700,711 Becker Circle,196
ECOMT97045,Birdie Annice,2867307347,48 Annamark Hill,624
ECOMT26586,Emalia Riall,9989951188,92 Northview Way,978
ECOMT50414,Flossie Sifleet,3312840990,1604 Killdeer Pass,101
ECOMT91807,Eleanore Chanter,3214075832,53725 Dayton Street,757
ECOMT33391,Jacobo Furley,3736812855,9712 Melrose Terrace,257
ECOMT05841,Giacinta Oblein,3119996056,0589 Fallview Circle,547
ECOMT29209,Fidela Pershouse,6651077848,019 Elka Place,186
