order_number,customer_name,customer_phone,customer_address,delivery_cost
NIVS0639,Edeline McKimm,4917475911,5 Kensington Way,585
NIVS2973,Gerta Rigard,3784053156,02536 Coolidge Plaza,172
NIVS7286,Rori Goodrum,7261406194,4 Delaware Parkway,490
NIVS5020,Cati Hadlee,3489860237,07 Blaine Terrace,769
NIVS9967,Guillema Block,5988388329,300 Oriole Circle,248
NIVS0826,Tess Godsafe,9842778019,5 Dennis Plaza,184
NIVS8286,Gypsy Bruckent,6817698765,472 Tennyson Circle,375
NIVS2266,Cornie Gilder,5661242706,21617 Homewood Junction,686
NIVS7451,Neel Dalling,7992892832,59555 Autumn Leaf Alley,106
NIVS7050,Vivian Kear,4752427414,30736 Farmco Way,571
NIVS5835,Milena Leaver,7563348869,25 6th Crossing,743
NIVS3574,Dwain Oliva,7512483210,94066 Sutteridge Lane,299
NIVS8815,Doloritas Turmall,8195683301,0892 Hagan Point,272
NIVS7541,Carlin de Quincey,7434064289,018 Elmside Trail,958
NIVS4901,Jonis Bartrop,1353189249,22547 Vidon Drive,728
NIVS2276,Geno Fouch,4753725683,50 Bultman Terrace,444
NIVS0546,Granny Hasell,6857399331,8 Sundown Place,731
NIVS8649,Gilles Janecek,6617711043,07 Schmedeman Avenue,568
NIVS9122,Jennica Kuhnt,6767482938,0 Dovetail Drive,421
NIVS2898,Tristam Kline,9714563185,1 Melody Terrace,103
NIVS2867,Lock Vicarey,7964846692,879 Reindahl Avenue,647
NIVS1938,Gayel MacDonell,4932749693,54 Grayhawk Way,175
NIVS9587,Iorgo De Launde,2977654118,3940 Farmco Crossing,759
NIVS0229,Arlie Cardall,4415098144,044 Forest Run Pass,708
NIVS8448,Catlaina Cummins,7232311718,255 Ohio Park,537
NIVS1244,Arlie Beckford,1886890944,0 Killdeer Court,583
NIVS0801,Townsend Punshon,6804413861,34 Rockefeller Hill,311
NIVS7622,Alfredo Trumble,9094328029,09 Rieder Trail,168
NIVS9046,Jeff Waiton,1858972555,56 Thackeray Lane,893
NIVS7365,Marysa Saveall,2601054238,007 Kim Lane,823
NIVS3594,Abba Angrock,9886598980,2 Onsgard Lane,282
NIVS7364,Erna Guiu,2069732758,29022 Pearson Terrace,616
NIVS7318,Lanae Crauford,3309869447,7375 Blue Bill Park Drive,212
NIVS4508,Benedikta Gurney,5314480289,4212 Lakeland Way,400
NIVS9639,Jermayne Rubinfajn,9586104954,13 Hudson Hill,524
NIVS3953,Roldan Tender,2647404973,7395 Shelley Drive,761
NIVS2070,Laure Sangwin,8585998215,3168 Harper Pass,585
NIVS3541,Anson Luchelli,7198346023,62550 Lindbergh Hill,356
NIVS1880,Orsola Roussell,5586701462,0 Cherokee Road,820
NIVS5344,Ainsley Lathan,2193581592,1 Center Trail,821
NIVS5090,Gothart Grahl,7036742830,464 Little Fleur Junction,725
NIVS1127,Kristofer Posselow,2923279165,39 Mesta Pass,678
NIVS8909,Gwen Barthelme,3749072213,357 Sunbrook Circle,520
NIVS7784,Janeta Saenz,9291383431,85 International Court,330
NIVS2175,Raleigh Jurgensen,6787813065,62478 David Junction,649
NIVS0817,Dee dee Birrel,8581986558,47 Express Hill,530
NIVS6402,Shae Marrison,1351824853,9977 Moulton Lane,182
NIVS6034,Adela Christoforou,7449662908,483 Lotheville Junction,321
NIVS2111,Garv Kirsch,6692423843,17 Thackeray Street,366
NIVS2322,Vivian Mephan,1322531930,81559 Gateway Drive,633
NIVS9363,Morie Corzon,1094193071,69 Raven Pass,190
NIVS3769,Tera Barney,6783164322,2272 Florence Point,102
NIVS3508,Gael Gatward,8905206819,1 John Wall Lane,670
NIVS5935,Brock Britnell,5449491760,98 Northwestern Trail,740
NIVS3948,Fanya Curtayne,3918441114,924 Pond Plaza,719
NIVS5062,Roberta Wyrall,5847668756,43 Dryden Center,464
NIVS4317,Elayne Town,2202140012,36 Anzinger Hill,231
NIVS8945,Thorndike Santora,8242788865,0213 Center Street,316
NIVS6478,Chris Boot,9263780441,0 Fieldstone Trail,931
NIVS9495,Katrinka Bern,3214425280,0052 Lerdahl Center,423
NIVS7971,Coleman Hanley,6532303789,1 Jenifer Terrace,988
